"Novel face memory
score out of 72","Famous face memory
score out of 28","Face perception
score out of 60","Celebrity memory
self-rating","Celebrity forgetting
self-report","Pop media use
self-report"
44,4,24.67,1,5,1
41,1,28,3,5,1
65,27,18.67,1,1,1
38,13,24,4,3,2
45,8,30.67,3,3,3
37,2,25.33,5,3,3
48,15,40,3,2,5
37,20,35.33,5,1,3
42,15,25.33,2,1,5
41,6,30.67,3,5,2
65,17,43.33,2,3,2
54,0,38,1,3,1
46,15,42,3,2,1
49,2,34,5,3,2
53,25,25.33,4,1,2
35,0,20.67,2,3,1
63,18,19.33,4,2,5
45,5,22,3,3,1
51,6,18.67,3,3,3
56,4,30,3,2,3
56,13,40,3,2,2
31,6,31.33,3,2,3
42,4,23.33,3,3,2
60,19,29.33,3,2,2
64,14,34,3,2,3
60,0,36,5,3,4
59,18,42.67,2,4,1
49,4,33.33,3,1,1
46,21,32,3,2,5
42,13,36,4,1,4
65,23,25.33,4,1,4
58,12,26,3,1,4
40,2,16,5,2,1
33,12,20.67,5,1,2
27,1,16,2,4,1
59,0,38,3,1,1
41,11,31.33,3,3,2
45,23,24,5,1,2
64,18,38.67,3,3,2
39,1,24.67,4,2,2
54,4,40.67,1,1,3
54,7,28.67,3,2,1
49,16,28.67,4,4,1
55,27,42.67,4,1,3
49,14,35.33,4,5,2
36,4,16.67,3,2,5
49,19,33.33,5,3,3
55,16,27.33,3,4,1
55,7,38.67,3,4,2
67,11,36.67,3,4,2
43,4,34,2,3,3
65,12,39.33,3,2,3
47,12,33.33,3,2,4
36,8,29.33,3,5,4
48,10,23.33,2,3,1
41,13,26.67,3,3,2
53,25,36.67,4,3,2
61,4,32.67,4,3,3
43,2,32.67,2,5,1
58,21,40.67,4,2,1
46,25,32,3,3,2
36,1,32,1,2,2
35,25,42.67,2,2,2
43,10,35.33,3,2,2
51,16,36.67,4,2,2
53,11,29.33,3,1,3
66,22,44.67,5,1,3
58,2,31.33,3,3,1
55,8,25.33,2,2,1
43,14,27.33,4,3,3
55,19,2.67,4,1,4
45,5,30.67,3,4,2
62,13,38,5,1,2
46,5,16.67,3,3,2
58,22,28.67,3,2,2
51,8,34.67,5,2,2
65,7,39.33,3,1,3
60,19,38.67,4,3,5
59,20,38,5,1,2
56,13,24,3,3,1
49,18,22,3,2,1
49,16,33.33,3,3,2
38,17,36.67,3,2,2
47,7,40,4,2,2
48,25,34.67,4,2,2
47,14,28,2,3,3
54,23,26.67,3,2,3
62,15,40.67,4,2,3
52,2,34,5,2,3
66,15,32.67,4,1,3
68,11,37.33,3,3,1
67,17,34.67,5,2,1
57,20,35.33,4,4,2
46,9,32,5,2,2
57,19,36.67,5,1,2
49,19,29.33,3,2,3
70,18,37.33,5,2,3
72,17,40,3,2,4
37,5,37.33,1,5,1
53,2,36.67,2,5,1
30,1,30.67,2,1,1
47,7,16.67,4,3,2
57,18,40,4,2,2
65,23,40.67,5,2,2
53,2,22.67,3,2,3
48,13,42,4,2,3
58,2,26,3,4,1
64,2,33.33,4,4,1
54,23,34,3,3,3
59,24,36.67,4,2,5
57,5,40,2,3,2
50,7,25.33,3,2,2
52,7,26,3,1,2
53,12,32.67,5,4,2
49,21,32.67,5,1,4
57,14,40.67,5,3,3
44,2,31.33,3,4,5
53,3,32.67,2,3,2
44,10,26,2,3,1
41,8,36,2,5,2
41,0,24,2,4,2
56,14,39.33,2,4,2
56,16,34.67,3,3,2
64,10,42,4,3,2
41,13,36.67,4,5,3
52,13,34.67,3,4,3
53,4,26.67,3,3,3
64,13,42,3,3,3
33,7,25.33,3,1,3
53,2,40,4,1,3
43,9,37.33,3,3,4
56,20,40,5,1,5
55,20,37.33,3,2,2
52,19,36,5,2,2
48,8,26,3,3,3
58,17,40,3,3,3
62,21,34,5,3,4
51,17,40,3,3,2
38,12,26,4,3,2
53,13,16,4,4,3
52,21,38,3,3,5
49,11,33.33,5,2,5
48,5,30.67,3,4,2
52,8,28,4,3,2
44,12,32,4,3,5
64,2,30.67,2,2,2
54,23,36,4,3,2
70,26,35.33,4,2,3
52,13,36,4,2,2
49,16,26,4,2,3
57,16,37.33,5,3,1
44,10,33.33,1,3,2
41,2,31.33,2,3,2
63,2,42,1,1,3
52,10,40.67,5,1,3
44,5,38.67,4,4,4
47,0,28,3,1,1
37,2,36,4,1,2
56,0,16,5,3,3
23,1,28.67,1,3,1
64,16,39.33,4,2,2
67,10,35.33,3,3,3
52,17,40,4,3,4
45,17,36,4,2,4
51,16,30.67,3,3,3
44,6,33.33,1,5,1
42,9,22,2,4,1
65,14,38.67,4,3,2
32,3,14.67,2,2,2
43,21,22.67,2,4,3
67,23,37.33,3,3,3
67,23,40.67,4,2,3
66,24,30.67,4,1,3
46,7,31.33,3,4,1
40,3,27.33,3,4,2
39,25,29.33,2,4,1
46,11,30,3,2,1
51,13,32.67,3,1,3
51,15,16,3,3,4
61,23,46,4,1,4
55,14,26,5,2,5
59,17,36.67,4,3,2
55,7,41.33,3,2,2
60,18,40.67,4,3,4
51,13,36,3,3,2
41,17,32,5,3,2
52,13,32,4,2,5
45,2,31.33,3,2,1
44,1,25.33,3,1,1
50,16,37.33,3,1,1
44,13,36,4,1,1
42,13,30,2,4,2
62,14,38,3,4,2
36,1,29.33,4,4,2
56,16,32,2,3,2
62,15,33.33,3,3,2
50,16,35.33,3,3,2
50,2,37.33,3,2,2
43,5,36.67,4,2,2
68,22,38.67,5,2,2
49,5,36.67,3,4,3
55,14,21.33,4,3,3
64,12,34.67,5,3,3
57,3,36,3,2,3
45,21,34,3,2,3
52,11,27.33,4,2,3
65,13,30,4,2,3
63,24,33.33,4,2,3
58,27,36.67,4,1,3
37,10,30,3,3,4
58,14,16,4,2,4
49,1,25.33,3,3,5
51,26,32,4,2,5
45,14,37.33,4,1,5
57,23,38,4,4,1
41,8,29.33,3,3,1
34,21,22,3,3,1
50,6,20,3,2,1
45,18,34.67,3,2,1
48,7,31.33,3,1,1
52,10,36.67,4,1,1
55,21,16,3,4,2
52,2,16,3,3,2
34,3,26.67,3,3,2
63,5,40,4,2,2
57,12,35.33,4,2,2
59,15,42,3,4,3
35,3,37.33,5,4,3
67,11,38,3,3,3
60,4,35.33,3,2,3
47,7,35.33,3,2,3
48,8,36,3,2,3
59,23,34,3,2,3
56,27,48.67,3,2,3
69,26,39.33,5,1,3
39,18,30.67,4,3,4
38,11,18,5,2,5
50,10,16.67,3,4,1
69,23,44.67,4,2,1
48,20,36.67,3,2,3
49,20,38.67,3,2,3
65,23,40,3,2,3
58,15,38,5,1,3
61,6,42,3,3,4
60,23,38,4,2,4
56,23,42,4,1,4
46,10,18,5,3,5
63,0,39.33,5,1,5
32,12,22.67,2,4,1
72,9,39.33,4,3,1
33,9,28,2,1,1
52,19,17.33,3,1,2
59,15,28.67,3,5,3
58,14,40.67,3,3,3
59,20,32,4,2,4
67,26,40.67,4,2,4
54,21,36,4,1,5
40,5,31.33,3,4,2
56,24,30,3,3,3
47,18,39.33,5,3,3
70,27,42,4,1,4
47,26,36.67,5,1,4
61,21,36.67,4,1,4
60,19,36,4,3,3
66,24,38,5,1,3
57,9,36,4,4,4
60,9,40.67,1,5,1
33,2,33.33,2,4,1
50,14,24.67,2,4,1
43,12,33.33,3,4,1
36,2,27.33,2,3,1
45,2,38.67,2,3,1
48,9,29.33,3,3,1
63,25,39.33,5,3,1
45,2,24,3,2,1
36,6,16,3,2,1
60,20,34.67,3,5,2
61,10,36.67,3,4,2
58,6,38.67,2,3,2
51,15,37.33,2,3,2
46,18,38.67,2,3,2
52,8,34,3,3,2
55,14,34,3,3,2
62,22,32,3,3,2
69,24,38,3,3,2
48,8,26.67,3,2,2
65,15,34.67,3,2,2
65,15,37.33,3,2,2
33,18,34,3,2,2
61,25,36,3,2,2
49,20,32.67,4,2,2
50,19,38.67,3,1,2
50,9,36,4,1,2
66,13,35.33,3,4,3
58,23,27.33,4,4,3
57,24,33.33,2,3,3
49,0,35.33,3,3,3
43,6,34,3,3,3
42,10,30,3,3,3
55,13,38,3,3,3
66,18,35.33,3,3,3
60,19,36,3,3,3
65,26,29.33,3,3,3
72,27,36.67,3,3,3
41,4,38.67,3,2,3
60,22,38,3,2,3
67,14,38.67,4,2,3
63,19,40.67,4,2,3
70,26,42,4,2,3
49,5,36.67,5,2,3
40,22,35.33,4,1,3
59,20,38,5,1,3
43,20,34.67,4,4,4
45,13,34,3,2,4
58,13,38,3,2,4
46,21,41.33,3,2,4
68,24,37.33,4,2,4
70,24,38.67,5,2,4
43,13,40,4,1,4
53,21,40,4,1,4
57,14,34.67,4,2,5
41,18,28.67,2,5,1
47,13,40,2,3,1
53,4,35.33,2,2,1
54,15,33.33,3,1,1
47,1,30,3,4,2
40,13,15.33,3,4,2
72,16,40.67,3,4,2
36,2,12.67,5,4,2
48,5,30,3,3,2
42,11,21.33,4,3,2
57,21,38,4,3,2
44,12,37.33,2,2,2
54,6,37.33,3,2,2
59,7,32.67,3,2,2
44,9,41.33,3,2,2
46,4,16,4,4,3
58,15,31.33,3,3,3
66,26,41.33,3,3,3
56,14,32.67,3,2,3
47,22,35.33,3,2,3
68,26,40,4,2,3
43,7,16,5,2,3
49,16,26.67,5,2,3
60,26,34,5,2,3
44,12,36,3,1,3
46,9,19.33,5,1,3
47,21,30.67,5,4,4
40,23,35.33,4,3,4
59,17,38.67,4,2,4
62,23,36,4,2,4
68,26,41.33,4,2,4
39,22,38,4,2,5
49,14,34,4,1,5
41,13,27.33,5,1,5
60,21,21.33,4,2,1
57,23,39.33,4,4,2
63,17,38,3,2,2
51,18,30,3,2,2
64,25,32,3,2,2
49,16,38.67,4,2,2
63,25,37.33,5,1,2
41,3,34,2,4,3
44,12,39.33,4,4,3
57,23,38.67,3,2,3
69,20,16,4,2,3
54,21,24,4,2,3
51,22,32,4,2,3
62,20,43.33,5,2,3
62,22,39.33,4,2,4
56,21,34,4,1,4
45,16,32,5,1,5
65,10,40,3,4,1
57,9,34,3,2,1
51,9,33.33,3,5,2
49,8,36,3,3,2
55,13,31.33,3,3,2
49,9,31.33,3,2,2
58,21,38,4,2,2
50,1,39.33,4,5,3
66,20,38.67,5,5,3
69,22,34,4,3,3
44,6,34,3,2,3
41,24,34.67,3,2,3
51,19,32,4,1,3
66,11,37.33,3,2,4
56,21,46,3,2,4
61,26,36,4,2,4
66,23,33.33,4,1,4
68,27,41.33,4,1,4
57,11,35.33,3,4,1
50,11,32.67,2,2,1
51,14,28.67,3,2,1
54,7,23.33,3,2,2
49,9,38,3,2,2
40,1,16,3,4,3
67,20,38,4,2,4
54,1,37.33,5,2,4
56,20,24.67,5,1,4
55,21,36.67,4,1,5
33,1,20,5,4,2
51,2,33.33,3,3,2
54,18,39.33,4,2,2
41,21,22.67,3,2,3
45,19,37.33,5,1,3
31,15,22,3,2,5
38,11,32.67,5,2,5
54,19,34.67,5,3,2
69,24,41.33,4,3,4
51,18,26,3,2,4
61,13,39.33,4,2,3
57,21,28.67,4,2,4
34,7,36,3,5,1
39,0,24.67,1,4,1
40,0,34,2,4,1
45,2,30,2,3,1
46,5,40,3,3,1
63,14,38,4,3,1
61,16,38,4,3,1
51,24,43.33,4,3,1
70,25,42.67,4,3,1
56,4,38,1,2,1
55,17,38,2,2,1
47,16,28.67,3,2,1
44,8,20,3,1,1
47,2,26.67,4,1,1
66,24,44.67,4,1,1
44,8,25.33,2,3,2
49,2,34.67,3,3,2
54,8,32.67,3,3,2
57,10,41.33,3,3,2
50,8,35.33,3,2,2
43,11,27.33,3,2,2
66,17,40,3,2,2
71,19,41.33,4,2,2
49,11,23.33,3,1,2
50,12,37.33,4,1,2
53,16,35.33,3,4,3
55,4,32.67,5,4,3
53,8,39.33,2,3,3
58,19,36,3,3,3
61,19,42,4,3,3
69,17,42,4,2,3
57,21,28,5,2,3
46,4,32.67,3,1,3
63,18,37.33,4,1,3
46,18,33.33,3,3,4
54,13,36,4,2,4
63,19,37.33,4,2,4
55,14,40.67,5,1,4
65,5,38.67,3,2,5
54,10,38.67,3,1,5
47,8,30,2,4,1
60,16,39.33,5,3,1
67,19,44,4,1,1
51,2,31.33,2,3,2
53,17,40,3,3,2
58,14,38,3,2,2
53,18,24,3,2,2
44,18,26,5,5,3
50,19,30.67,4,4,3
44,3,34,3,3,3
63,14,32,3,3,3
69,27,41.33,5,3,3
39,3,32,3,2,3
59,13,40,3,2,3
43,17,22,4,2,3
48,21,27.33,4,2,3
47,25,38,4,2,3
38,12,28,3,1,3
51,13,29.33,3,1,3
51,24,34.67,3,1,3
65,21,35.33,4,1,3
64,23,41.33,4,3,4
50,15,40,4,2,4
46,5,44.67,4,4,5
65,26,36,5,1,5
56,18,40,2,3,1
36,5,32.67,2,2,1
46,9,36.67,3,2,1
38,1,18,2,1,1
49,7,35.33,4,1,1
42,11,24,3,3,2
57,13,35.33,3,2,2
52,21,20.67,3,2,2
36,6,31.33,3,4,3
54,3,38,3,3,3
